Shop Name,latitude,longitude,Retailer Subtype,YTD Retailing Value,country,Opportunity
GROBIN WHOLESALE/RETAIL COSMETICS STORE,8.5338752,4.4849884,Secondary,0.0,Nigeria,Dead Whitespace
BOLY MEDICAL,8.540225,7.7135901,Secondary,0.0,Nigeria,Dead Whitespace
YUSUF ADE,8.5406353,3.3451569,Secondary,157.61445,Nigeria,Low Performer
ISAJI PHARMACY,8.5417368,7.7090687,Secondary,306.05925,Nigeria,Low Performer
opemipo store,8.5426395,4.6355058,Secondary,595.1697,Nigeria,High Performer
ISAJI PHARMACY,8.5433198,7.7099208,Secondary,0.0,Nigeria,Dead Whitespace
MUM AISHAT,8.5436049,3.3409779,Secondary,822.69705,Nigeria,High Performer
IFEOLUWA,8.5436909,3.3412757,Secondary,1030.54035,Nigeria,High Performer
CHASMEL PMS,8.5445381,8.5338013,Secondary,185.17905,Nigeria,Low Performer
POMAC PHARMACY,8.5455783,7.71164,Secondary,0.0,Nigeria,Dead Whitespace
AILAND PHARMACY,8.545684526,4.644487649,Secondary,0.0,Nigeria,Dead Whitespace
IYA AJOKE,8.545739,4.6452004,Secondary,0.0,Nigeria,Dead Whitespace
SUPER BEAUTY COSMETICS,8.5457459,4.6446236,Secondary,432.61812,Nigeria,Low Performer
MUMMY JUMOKE,8.545847,4.6445753,Secondary,0.0,Nigeria,Dead Whitespace
POMAC PHARMACY,8.5460934,7.7125265,Secondary,1026.87585,Nigeria,High Performer
AGI DOO MEDICINE,8.5462883,8.5350883,Secondary,859.94475,Nigeria,High Performer
JONADO PHARMACY,8.5463703,8.5351536,Secondary,234.75144,Nigeria,Low Performer
AGI-DOO PHARMACY,8.546385,8.535055,Secondary,0.0,Nigeria,Dead Whitespace
AWOLERE,8.5471493,3.3349796,Secondary,910.1883,Nigeria,High Performer
YAH LATEEF,8.5472231,3.3349158,Secondary,146.4939,Nigeria,Low Performer
DADA PHARMACY,8.5475804,7.715551,Secondary,435.94215,Nigeria,Low Performer
DADA PHARMACY,8.5475851,7.7154921,Secondary,0.0,Nigeria,Dead Whitespace
ANUOLUWA,8.547813,3.3361033,Secondary,903.8736,Nigeria,High Performer
ADEMOLA ROYAL,8.5480259,3.3348486,Secondary,857.13033,Nigeria,High Performer
